[rosmaster.main][INFO] 2020-05-27 15:25:35,343: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-05-27 15:25:35,343: Starting ROS Master Node
[xmlrpc][INFO] 2020-05-27 15:25:35,358: XML-RPC server binding to :::11311
[xmlrpc][INFO] 2020-05-27 15:25:35,358: binding ipv6 xmlrpc socket to('::', 11311)
[xmlrpc][INFO] 2020-05-27 15:25:35,358: bound to ('::', 11311)
[xmlrpc][INFO] 2020-05-27 15:25:35,359: Started XML-RPC server [http://rosdscomputer:11311/]
[xmlrpc][INFO] 2020-05-27 15:25:35,359: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-05-27 15:25:35,359: Master initialized: port[11311], uri[http://rosdscomputer:11311/]
[rosmaster.master][INFO] 2020-05-27 15:25:35,462: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-05-27 15:25:35,463: +PARAM [/roslaunch/uris/host_rosdscomputer__35651] by /roslaunch
[rosmaster.master][INFO] 2020-05-27 15:25:36,724: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-05-27 15:25:36,724: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2020-05-27 15:25:36,724: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-05-27 15:25:36,732: +SERVICE [/rosout/get_loggers] /rosout http://rosdscomputer:38723/
[rosmaster.master][INFO] 2020-05-27 15:25:36,742: +SERVICE [/rosout/set_logger_level] /rosout http://rosdscomputer:38723/
[rosmaster.master][INFO] 2020-05-27 15:25:36,784: +SUB [/clock] /rosout http://rosdscomputer:38723/
[rosmaster.master][INFO] 2020-05-27 15:25:36,794: +PUB [/rosout_agg] /rosout http://rosdscomputer:38723/
[rosmaster.master][INFO] 2020-05-27 15:25:36,830: +SUB [/rosout] /rosout http://rosdscomputer:38723/
[rosmaster.master][INFO] 2020-05-27 15:25:39,409: +PUB [/rosout] /gazebo http://rosdscomputer:44911/
[rosmaster.master][INFO] 2020-05-27 15:25:39,410: +SERVICE [/gazebo/get_loggers] /gazebo http://rosdscomputer:44911/
[rosmaster.master][INFO] 2020-05-27 15:25:39,411: +SERVICE [/gazebo/set_logger_level] /gazebo http://rosdscomputer:44911/
[rosmaster.master][INFO] 2020-05-27 15:25:39,417: +SUB [/clock] /gazebo http://rosdscomputer:44911/
[rosmaster.master][INFO] 2020-05-27 15:25:39,461: publisherUpdate[/rosout] -> http://rosdscomputer:38723/ ['http://rosdscomputer:44911/']
[rosmaster.master][INFO] 2020-05-27 15:25:39,476: publisherUpdate[/rosout] -> http://rosdscomputer:38723/ ['http://rosdscomputer:44911/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2020-05-27 15:25:39,924: +PUB [/clock] /gazebo http://rosdscomputer:44911/
[rosmaster.master][INFO] 2020-05-27 15:25:39,925: +SERVICE [/gazebo/spawn_sdf_model] /gazebo http://rosdscomputer:44911/
[rosmaster.master][INFO] 2020-05-27 15:25:39,926: +SERVICE [/gazebo/spawn_urdf_model] /gazebo http://rosdscomputer:44911/
[rosmaster.master][INFO] 2020-05-27 15:25:39,927: +SERVICE [/gazebo/delete_model] /gazebo http://rosdscomputer:44911/
[rosmaster.master][INFO] 2020-05-27 15:25:39,928: +SERVICE [/gazebo/delete_light] /gazebo http://rosdscomputer:44911/
[rosmaster.master][INFO] 2020-05-27 15:25:39,928: +SERVICE [/gazebo/get_model_properties] /gazebo http://rosdscomputer:44911/
[rosmaster.master][INFO] 2020-05-27 15:25:39,929: +SERVICE [/gazebo/get_model_state] /gazebo http://rosdscomputer:44911/
[rosmaster.master][INFO] 2020-05-27 15:25:39,930: +SERVICE [/gazebo/get_world_properties] /gazebo http://rosdscomputer:44911/
[rosmaster.master][INFO] 2020-05-27 15:25:39,930: +SERVICE [/gazebo/get_joint_properties] /gazebo http://rosdscomputer:44911/
[rosmaster.master][INFO] 2020-05-27 15:25:39,931: +SERVICE [/gazebo/get_link_properties] /gazebo http://rosdscomputer:44911/
[rosmaster.master][INFO] 2020-05-27 15:25:39,932: +SERVICE [/gazebo/get_link_state] /gazebo http://rosdscomputer:44911/
[rosmaster.master][INFO] 2020-05-27 15:25:39,932: +SERVICE [/gazebo/get_light_properties] /gazebo http://rosdscomputer:44911/
[rosmaster.master][INFO] 2020-05-27 15:25:39,933: +SERVICE [/gazebo/set_light_properties] /gazebo http://rosdscomputer:44911/
[rosmaster.master][INFO] 2020-05-27 15:25:39,933: +SERVICE [/gazebo/get_physics_properties] /gazebo http://rosdscomputer:44911/
[rosmaster.master][INFO] 2020-05-27 15:25:39,934: +PUB [/gazebo/link_states] /gazebo http://rosdscomputer:44911/
[rosmaster.master][INFO] 2020-05-27 15:25:39,935: +PUB [/gazebo/model_states] /gazebo http://rosdscomputer:44911/
[rosmaster.master][INFO] 2020-05-27 15:25:39,935: +SERVICE [/gazebo/set_link_properties] /gazebo http://rosdscomputer:44911/
[rosmaster.master][INFO] 2020-05-27 15:25:39,936: +SERVICE [/gazebo/set_physics_properties] /gazebo http://rosdscomputer:44911/
[rosmaster.master][INFO] 2020-05-27 15:25:39,937: +SERVICE [/gazebo/set_model_state] /gazebo http://rosdscomputer:44911/
[rosmaster.master][INFO] 2020-05-27 15:25:39,937: +SERVICE [/gazebo/set_model_configuration] /gazebo http://rosdscomputer:44911/
[rosmaster.master][INFO] 2020-05-27 15:25:39,938: +SERVICE [/gazebo/set_joint_properties] /gazebo http://rosdscomputer:44911/
[rosmaster.master][INFO] 2020-05-27 15:25:39,938: +SERVICE [/gazebo/set_link_state] /gazebo http://rosdscomputer:44911/
[rosmaster.master][INFO] 2020-05-27 15:25:39,941: +SUB [/gazebo/set_link_state] /gazebo http://rosdscomputer:44911/
[rosmaster.master][INFO] 2020-05-27 15:25:39,944: +SUB [/gazebo/set_model_state] /gazebo http://rosdscomputer:44911/
[rosmaster.master][INFO] 2020-05-27 15:25:39,945: +SERVICE [/gazebo/pause_physics] /gazebo http://rosdscomputer:44911/
[rosmaster.master][INFO] 2020-05-27 15:25:39,945: +SERVICE [/gazebo/unpause_physics] /gazebo http://rosdscomputer:44911/
[rosmaster.master][INFO] 2020-05-27 15:25:39,946: +SERVICE [/gazebo/apply_body_wrench] /gazebo http://rosdscomputer:44911/
[rosmaster.master][INFO] 2020-05-27 15:25:39,947: +SERVICE [/gazebo/apply_joint_effort] /gazebo http://rosdscomputer:44911/
[rosmaster.master][INFO] 2020-05-27 15:25:39,947: +SERVICE [/gazebo/clear_joint_forces] /gazebo http://rosdscomputer:44911/
